"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15"
0.4,24.8,0.4,116.,0.6000000000000001,101.60000000000001,0.8,65.60000000000001,8.6,66.4,1.4000000000000001,1.6,3.2,104.,3.8000000000000003,147.20000000000002,4.,47.2,10.4,19.200000000000003,16.2,83.2,24.200000000000003,89.60000000000001,24.6,65.60000000000001,32.4,81.60000000000001,4.,118.4
0.6000000000000001,25.6,0.6000000000000001,116.80000000000001,0.8,101.60000000000001,1.,65.60000000000001,8.8,66.4,1.6,1.6,3.4000000000000004,104.,4.,147.20000000000002,4.2,47.2,10.600000000000001,19.200000000000003,16.400000000000002,83.2,24.400000000000002,89.60000000000001,24.8,65.60000000000001,32.6,81.60000000000001,4.2,117.60000000000001
0.8,25.6,0.8,116.80000000000001,1.,101.60000000000001,1.2000000000000002,65.60000000000001,9.,66.4,1.8,1.6,3.6,104.,4.2,147.20000000000002,4.4,47.2,10.8,18.400000000000002,16.6,83.2,24.6,89.60000000000001,25.,65.60000000000001,32.800000000000004,81.60000000000001,4.4,117.60000000000001
1.,25.6,1.,117.60000000000001,1.2000000000000002,101.60000000000001,1.4000000000000001,65.60000000000001,9.200000000000001,66.4,2.,1.6,3.8000000000000003,104.,4.4,147.20000000000002,4.6000000000000005,47.2,11.,18.400000000000002,16.8,83.2,24.8,89.60000000000001,25.200000000000003,65.60000000000001,33.,81.60000000000001,4.6000000000000005,117.60000000000001
1.2000000000000002,25.6,1.2000000000000002,117.60000000000001,1.4000000000000001,101.60000000000001,1.6,65.60000000000001,9.4,66.4,2.2,1.6,4.,104.,4.6000000000000005,147.20000000000002,4.800000000000001,47.2,11.200000000000001,18.400000000000002,17.,83.2,"","",25.400000000000002,65.60000000000001,33.2,81.60000000000001,4.800000000000001,117.60000000000001
1.4000000000000001,25.6,1.4000000000000001,117.60000000000001,1.6,101.60000000000001,1.8,65.60000000000001,9.600000000000001,66.4,2.4000000000000004,1.6,4.2,104.,4.800000000000001,147.20000000000002,5.,46.400000000000006,11.4,17.6,17.2,83.2,"","",25.6,65.60000000000001,33.4,81.60000000000001,5.,117.60000000000001
1.6,26.400000000000002,1.6,117.60000000000001,1.8,101.60000000000001,2.,65.60000000000001,9.8,66.4,2.6,1.6,4.4,104.,5.,147.20000000000002,5.2,46.400000000000006,11.600000000000001,17.6,17.400000000000002,83.2,"","",25.8,65.60000000000001,33.6,81.60000000000001,5.2,117.60000000000001
1.8,26.400000000000002,1.8,117.60000000000001,2.,101.60000000000001,2.2,65.60000000000001,10.,66.4,2.8000000000000003,1.6,4.6000000000000005,104.,5.2,147.20000000000002,5.4,46.400000000000006,11.8,16.8,17.6,83.2,"","",26.,64.8,33.800000000000004,81.60000000000001,5.4,117.60000000000001
2.,26.400000000000002,2.,117.60000000000001,2.2,101.60000000000001,2.4000000000000004,65.60000000000001,10.200000000000001,66.4,3.,1.6,4.800000000000001,104.80000000000001,5.4,147.20000000000002,5.6000000000000005,46.400000000000006,12.,16.,17.8,83.2,"","",26.200000000000003,64.8,"","",5.6000000000000005,117.60000000000001
2.2,26.400000000000002,2.2,117.60000000000001,2.4000000000000004,101.60000000000001,2.6,65.60000000000001,10.4,66.4,3.2,1.6,5.,104.80000000000001,5.6000000000000005,147.20000000000002,5.800000000000001,46.400000000000006,12.200000000000001,15.200000000000001,"","","","",26.400000000000002,64.8,"","",5.800000000000001,117.60000000000001
2.4000000000000004,26.400000000000002,2.4000000000000004,117.60000000000001,2.6,101.60000000000001,2.8000000000000003,65.60000000000001,10.600000000000001,66.4,3.4000000000000004,1.6,5.2,104.80000000000001,5.800000000000001,147.20000000000002,6.,46.400000000000006,"","","","","","",26.6,64.8,"","",6.,117.60000000000001
2.6,26.400000000000002,2.6,117.60000000000001,2.8000000000000003,101.60000000000001,3.,65.60000000000001,10.8,66.4,3.6,0.8,5.4,104.,6.,147.20000000000002,6.2,46.400000000000006,"","","","","","",26.8,64.8,"","",6.2,117.60000000000001
2.8000000000000003,26.400000000000002,2.8000000000000003,118.4,3.,101.60000000000001,3.2,66.4,11.,66.4,3.8000000000000003,0.8,5.6000000000000005,104.,6.2,147.20000000000002,6.4,46.400000000000006,"","","","","","",27.,65.60000000000001,"","",6.4,117.60000000000001
3.,26.400000000000002,3.,118.4,3.2,101.60000000000001,4.,66.4,11.200000000000001,66.4,4.,0.8,5.800000000000001,104.80000000000001,6.4,147.20000000000002,6.6000000000000005,46.400000000000006,"","","","","","",27.200000000000003,65.60000000000001,"","",6.6000000000000005,117.60000000000001
3.2,26.400000000000002,3.2,118.4,3.4000000000000004,101.60000000000001,4.2,66.4,"","",4.2,0.8,"","",6.6000000000000005,147.20000000000002,6.800000000000001,46.400000000000006,"","","","","","",27.400000000000002,65.60000000000001,"","",6.800000000000001,117.60000000000001
3.4000000000000004,27.200000000000003,3.4000000000000004,119.2,3.6,101.60000000000001,4.4,66.4,"","",4.4,0.8,"","",6.800000000000001,147.20000000000002,7.,46.400000000000006,"","","","","","",27.6,65.60000000000001,"","",7.,117.60000000000001
3.6,27.200000000000003,3.6,119.2,3.8000000000000003,101.60000000000001,4.6000000000000005,66.4,"","",4.6000000000000005,0.8,"","",7.,147.20000000000002,7.2,46.400000000000006,"","","","","","",27.8,64.8,"","",7.2,117.60000000000001
"","",3.8000000000000003,119.2,4.,101.60000000000001,4.800000000000001,66.4,"","",4.800000000000001,0.8,"","",7.2,147.20000000000002,7.4,46.400000000000006,"","","","","","",28.,64.8,"","",7.4,117.60000000000001
"","",4.,119.2,4.2,101.60000000000001,5.,66.4,"","",5.,0.8,"","",7.4,147.20000000000002,7.6000000000000005,46.400000000000006,"","","","","","",28.200000000000003,64.8,"","",7.6000000000000005,117.60000000000001
"","",4.2,120.,4.4,101.60000000000001,5.2,66.4,"","",5.2,0.8,"","",7.6000000000000005,147.20000000000002,7.800000000000001,46.400000000000006,"","","","","","",28.400000000000002,64.8,"","",7.800000000000001,117.60000000000001
"","",4.4,120.,4.6000000000000005,101.60000000000001,5.4,66.4,"","",5.4,0.8,"","",7.800000000000001,147.20000000000002,8.,46.400000000000006,"","","","","","",28.6,64.8,"","",8.,117.60000000000001
"","",4.6000000000000005,120.,4.800000000000001,101.60000000000001,5.6000000000000005,66.4,"","",5.6000000000000005,0.8,"","",8.,147.20000000000002,8.200000000000001,46.400000000000006,"","","","","","",28.8,64.8,"","",8.200000000000001,117.60000000000001
"","",4.800000000000001,120.,5.,101.60000000000001,5.800000000000001,66.4,"","",5.800000000000001,0.8,"","",8.200000000000001,147.20000000000002,8.4,46.400000000000006,"","","","","","",29.,64.8,"","",8.4,117.60000000000001
"","",5.,120.80000000000001,5.2,101.60000000000001,6.,66.4,"","",6.,0.8,"","",8.4,147.20000000000002,8.6,46.400000000000006,"","","","","","",29.200000000000003,64.8,"","",8.6,117.60000000000001
"","",5.2,120.80000000000001,5.4,101.60000000000001,6.2,66.4,"","",6.2,0.8,"","",8.6,147.20000000000002,8.8,46.400000000000006,"","","","","","",29.400000000000002,64.8,"","",8.8,117.60000000000001
"","",5.4,120.80000000000001,5.6000000000000005,101.60000000000001,"","","","",6.4,0.8,"","",8.8,147.20000000000002,9.,46.400000000000006,"","","","","","",29.6,64.8,"","",9.,117.60000000000001
"","",5.6000000000000005,120.80000000000001,5.800000000000001,101.60000000000001,"","","","",6.6000000000000005,0.8,"","",9.,147.20000000000002,9.200000000000001,46.400000000000006,"","","","","","",29.8,64.8,"","",9.200000000000001,117.60000000000001
"","",5.800000000000001,121.60000000000001,6.,101.60000000000001,"","","","",6.800000000000001,0.8,"","",9.200000000000001,147.20000000000002,9.4,46.400000000000006,"","","","","","",30.,64.8,"","",9.4,117.60000000000001
"","",6.,121.60000000000001,6.2,101.60000000000001,"","","","",7.,0.8,"","",9.4,147.20000000000002,9.600000000000001,46.400000000000006,"","","","","","",30.200000000000003,64.8,"","",9.600000000000001,117.60000000000001
"","",6.2,121.60000000000001,6.4,101.60000000000001,"","","","",7.2,0.8,"","",9.600000000000001,147.20000000000002,9.8,46.400000000000006,"","","","","","",30.400000000000002,64.8,"","",9.8,117.60000000000001
"","",6.4,121.60000000000001,6.6000000000000005,101.60000000000001,"","","","",7.4,0.8,"","",9.8,147.20000000000002,10.,46.400000000000006,"","","","","","",30.6,64.8,"","",10.,117.60000000000001
"","",6.6000000000000005,121.60000000000001,6.800000000000001,101.60000000000001,"","","","",7.6000000000000005,0.8,"","",10.,147.20000000000002,10.200000000000001,46.400000000000006,"","","","","","",30.8,64.8,"","",10.200000000000001,117.60000000000001
"","",6.800000000000001,121.60000000000001,7.,101.60000000000001,"","","","",7.800000000000001,0.8,"","",10.200000000000001,147.20000000000002,10.4,46.400000000000006,"","","","","","",31.,64.8,"","",10.4,117.60000000000001
"","",7.,121.60000000000001,7.2,101.60000000000001,"","","","",8.,0.8,"","",10.4,147.20000000000002,10.600000000000001,46.400000000000006,"","","","","","",31.200000000000003,64.8,"","",10.600000000000001,117.60000000000001
"","",7.2,121.60000000000001,7.4,101.60000000000001,"","","","",8.200000000000001,0.8,"","",10.600000000000001,147.20000000000002,10.8,46.400000000000006,"","","","","","",31.400000000000002,64.8,"","",10.8,117.60000000000001
"","",7.4,121.60000000000001,7.6000000000000005,101.60000000000001,"","","","",8.4,0.8,"","",10.8,147.20000000000002,11.,46.400000000000006,"","","","","","",31.6,64.8,"","",11.,117.60000000000001
"","",7.6000000000000005,121.60000000000001,7.800000000000001,101.60000000000001,"","","","",8.6,0.8,"","",11.,147.20000000000002,11.200000000000001,46.400000000000006,"","","","","","",31.8,64.8,"","",11.200000000000001,117.60000000000001
"","",7.800000000000001,121.60000000000001,8.,101.60000000000001,"","","","",8.8,0.8,"","",11.200000000000001,147.20000000000002,11.4,46.400000000000006,"","","","","","",32.,64.8,"","",11.4,117.60000000000001
"","",8.,121.60000000000001,8.200000000000001,101.60000000000001,"","","","",9.,0.8,"","",11.4,147.20000000000002,11.600000000000001,46.400000000000006,"","","","","","",32.2,64.8,"","",11.600000000000001,117.60000000000001
"","",8.200000000000001,122.4,8.4,101.60000000000001,"","","","",9.200000000000001,0.8,"","",11.600000000000001,147.20000000000002,11.8,46.400000000000006,"","","","","","",32.4,64.8,"","",11.8,117.60000000000001
"","",8.4,122.4,8.6,101.60000000000001,"","","","",9.4,0.8,"","",11.8,147.20000000000002,12.,46.400000000000006,"","","","","","",32.6,64.8,"","",12.,117.60000000000001
"","",8.6,122.4,8.8,101.60000000000001,"","","","",9.600000000000001,0.8,"","",12.,147.20000000000002,12.200000000000001,46.400000000000006,"","","","","","",32.800000000000004,64.8,"","",12.200000000000001,117.60000000000001
"","",8.8,122.4,9.,101.60000000000001,"","","","",9.8,0.8,"","",12.200000000000001,147.20000000000002,12.4,46.400000000000006,"","","","","","",33.,64.8,"","",12.4,117.60000000000001
"","",9.,123.2,9.200000000000001,101.60000000000001,"","","","",10.,0.8,"","",12.4,147.20000000000002,12.600000000000001,46.400000000000006,"","","","","","",33.2,64.8,"","",12.600000000000001,117.60000000000001
"","",9.200000000000001,123.2,9.4,101.60000000000001,"","","","",10.200000000000001,0.8,"","",12.600000000000001,147.20000000000002,12.8,46.400000000000006,"","","","","","",33.4,64.8,"","",12.8,117.60000000000001
"","",9.4,123.2,9.600000000000001,101.60000000000001,"","","","",10.4,0.8,"","",12.8,147.20000000000002,13.,46.400000000000006,"","","","","","",33.6,64.8,"","",13.,117.60000000000001
"","",9.600000000000001,124.,9.8,101.60000000000001,"","","","",10.600000000000001,0.8,"","",13.,147.20000000000002,13.200000000000001,46.400000000000006,"","","","","","",33.800000000000004,64.8,"","",13.200000000000001,117.60000000000001
"","",9.8,124.,10.,101.60000000000001,"","","","",10.8,0.8,"","",13.200000000000001,147.20000000000002,13.4,46.400000000000006,"","","","","","",34.,64.8,"","",13.4,117.60000000000001
"","",10.,124.,10.200000000000001,101.60000000000001,"","","","",11.,0.8,"","",13.4,147.20000000000002,13.600000000000001,46.400000000000006,"","","","","","",34.2,64.8,"","",13.600000000000001,117.60000000000001
"","",10.200000000000001,124.,10.4,101.60000000000001,"","","","",11.200000000000001,0.8,"","",13.600000000000001,147.20000000000002,14.8,46.400000000000006,"","","","","","",34.4,64.8,"","",13.8,117.60000000000001
"","",10.4,124.80000000000001,10.600000000000001,101.60000000000001,"","","","",11.4,0.8,"","",13.8,147.20000000000002,15.,46.400000000000006,"","","","","","",34.6,64.8,"","",14.,117.60000000000001
"","",10.600000000000001,124.80000000000001,10.8,101.60000000000001,"","","","",11.600000000000001,0.8,"","",14.,147.20000000000002,15.200000000000001,46.400000000000006,"","","","","","",34.800000000000004,64.8,"","",14.200000000000001,117.60000000000001
"","",10.8,124.80000000000001,11.,101.60000000000001,"","","","",11.8,0.8,"","",14.200000000000001,147.20000000000002,15.4,46.400000000000006,"","","","","","",35.,64.8,"","",14.4,117.60000000000001
"","",11.,124.80000000000001,11.200000000000001,101.60000000000001,"","","","",12.,0.8,"","",14.4,147.20000000000002,15.600000000000001,46.400000000000006,"","","","","","",35.2,64.8,"","",14.600000000000001,117.60000000000001
"","",11.200000000000001,125.60000000000001,11.4,101.60000000000001,"","","","",12.200000000000001,0.8,"","",14.600000000000001,146.4,15.8,46.400000000000006,"","","","","","",35.4,64.8,"","",14.8,117.60000000000001
"","",11.4,125.60000000000001,11.600000000000001,101.60000000000001,"","","","",12.4,0.8,"","",14.8,146.4,16.,46.400000000000006,"","","","","","",35.6,64.8,"","",15.,117.60000000000001
"","",11.600000000000001,125.60000000000001,11.8,101.60000000000001,"","","","",12.600000000000001,0.8,"","",15.,146.4,16.2,46.400000000000006,"","","","","","",35.800000000000004,64.8,"","","",""
"","",11.8,126.4,12.,101.60000000000001,"","","","",12.8,0.8,"","",15.200000000000001,146.4,16.400000000000002,46.400000000000006,"","","","","","",36.,64.8,"","","",""
"","",12.,126.4,12.200000000000001,101.60000000000001,"","","","",13.,0.8,"","",15.4,146.4,16.6,46.400000000000006,"","","","","","",36.2,64.8,"","","",""
"","",12.200000000000001,126.4,12.4,101.60000000000001,"","","","",13.200000000000001,0.8,"","",15.600000000000001,146.4,16.8,46.400000000000006,"","","","","","",36.4,64.8,"","","",""
"","",12.4,127.2,12.600000000000001,101.60000000000001,"","","","",13.4,0.8,"","",15.8,146.4,17.,46.400000000000006,"","","","","","",36.6,64.,"","","",""
"","",12.600000000000001,127.2,12.8,101.60000000000001,"","","","",13.600000000000001,0.8,"","",16.,146.4,17.2,46.400000000000006,"","","","","","",36.800000000000004,64.,"","","",""
"","",12.8,127.2,13.,101.60000000000001,"","","","",13.8,0.8,"","",16.2,146.4,17.400000000000002,46.400000000000006,"","","","","","",37.,64.,"","","",""
"","",13.,127.2,13.200000000000001,101.60000000000001,"","","","",14.,0.8,"","",16.400000000000002,145.6,17.6,46.400000000000006,"","","","","","",37.2,64.,"","","",""
"","",13.200000000000001,127.2,13.4,101.60000000000001,"","","","",14.200000000000001,0.8,"","",16.6,145.6,17.8,46.400000000000006,"","","","","","",37.4,64.8,"","","",""
"","",13.4,127.2,13.600000000000001,101.60000000000001,"","","","",14.4,0.8,"","",16.8,145.6,18.,46.400000000000006,"","","","","","",37.6,64.8,"","","",""
"","",13.600000000000001,128.,13.8,101.60000000000001,"","","","",14.600000000000001,0.8,"","",17.,145.6,18.2,46.400000000000006,"","","","","","",37.800000000000004,64.8,"","","",""
"","",13.8,128.,14.,101.60000000000001,"","","","",14.8,0.8,"","",17.2,146.4,18.400000000000002,46.400000000000006,"","","","","","",38.,64.8,"","","",""
"","",14.,128.,14.200000000000001,101.60000000000001,"","","","",15.,0.8,"","",17.400000000000002,146.4,18.6,46.400000000000006,"","","","","","",38.2,64.8,"","","",""
"","",14.200000000000001,128.,14.4,101.60000000000001,"","","","",15.200000000000001,0.8,"","",17.6,146.4,18.8,46.400000000000006,"","","","","","",38.400000000000006,64.8,"","","",""
"","",14.4,128.8,14.600000000000001,101.60000000000001,"","","","",15.4,0.8,"","",17.8,146.4,19.,46.400000000000006,"","","","","","",38.6,64.8,"","","",""
"","",14.600000000000001,128.8,14.8,101.60000000000001,"","","","",15.600000000000001,0.8,"","",18.,146.4,19.200000000000003,46.400000000000006,"","","","","","",38.800000000000004,64.8,"","","",""
